Age,Gender,Education,City,Income,Years_of_Experience,Purchased
34.0,Male,Master's,Houston,49960.0,15.0,0
38.0,Male,Bachelor's,San Francisco,125437.0,4.0,0
44.0,nan,nan,Los Angeles,137624.0,9.0,1
38.0,Female,Bachelor's,Los Angeles,98599.0,2.0,0
43.0,nan,Bachelor's,nan,,5.0,0
27.0,nan,nan,New York,60513.0,10.0,1
36.0,nan,nan,San Francisco,,,1
46.0,nan,nan,New York,81400.0,12.0,1
,Male,Bachelor's,New York,65984.0,1.0,1
38.0,Female,Bachelor's,Los Angeles,100676.0,11.0,0
47.0,Male,Bachelor's,Los Angeles,79046.0,18.0,0
45.0,Male,Bachelor's,Chicago,33197.0,18.0,0
22.0,Male,nan,New York,133748.0,11.0,1
25.0,Female,High School,New York,94610.0,10.0,0
41.0,nan,PhD,New York,120442.0,1.0,1
22.0,nan,Master's,Los Angeles,115500.0,1.0,1
22.0,Female,High School,San Francisco,88390.0,5.0,1
42.0,Female,nan,Chicago,64563.0,1.0,1
25.0,Female,nan,Los Angeles,56070.0,13.0,0
26.0,nan,Bachelor's,Houston,45474.0,2.0,0
34.0,Male,Master's,Houston,89896.0,4.0,1
47.0,Female,Bachelor's,New York,91161.0,8.0,1
24.0,Male,High School,nan,43892.0,3.0,0
22.0,Male,Bachelor's,Houston,91303.0,1.0,1
30.0,nan,Bachelor's,Los Angeles,95949.0,14.0,1
45.0,Male,nan,Los Angeles,100132.0,10.0,1
48.0,Female,High School,New York,148867.0,5.0,1
26.0,nan,PhD,San Francisco,99168.0,6.0,1
44.0,nan,PhD,nan,131948.0,15.0,0
30.0,Male,Bachelor's,nan,124771.0,8.0,0
48.0,Female,Bachelor's,New York,73826.0,14.0,0
,Female,Bachelor's,Los Angeles,102930.0,2.0,0
21.0,nan,nan,San Francisco,38410.0,1.0,1
25.0,Female,High School,Chicago,138290.0,13.0,1
45.0,Female,nan,Houston,37395.0,8.0,1
46.0,Male,Master's,nan,144667.0,15.0,0
26.0,nan,Master's,nan,88912.0,8.0,0
24.0,Male,PhD,nan,50867.0,8.0,0
29.0,Female,Master's,nan,75957.0,0.0,1
21.0,Female,Bachelor's,nan,59490.0,,1
,Male,High School,San Francisco,92747.0,7.0,1
47.0,Male,nan,New York,65071.0,,0
29.0,Male,High School,Houston,82578.0,8.0,1
40.0,nan,PhD,Chicago,117613.0,13.0,1
